queryno   Rank  Doc            score R        Precision           Recall             NDCG
query->3     1 2714    6.51886389282 1              1.0  0.0909090909091              1.0
query->3     2 2664    6.36119332824 1              1.0   0.181818181818              1.0
query->3     3 2973     6.3589430299 1              1.0   0.272727272727              1.0
query->3     4 2785    6.09895838293 0             0.75   0.272727272727    0.84030302838
query->3     5 2685    5.99266948278 0              0.6   0.272727272727   0.738691905663
query->3     6 2433    5.96605329974 0              0.5   0.272727272727   0.666318093808
query->3     7  950    5.92453296789 1   0.571428571429   0.363636363636   0.693929965378
query->3     8 1262    5.83736723532 0              0.5   0.363636363636   0.644057173993
query->3     9 2266    5.82688863798 1   0.555555555556   0.454545454545   0.666725643583
query->3    10 2700    5.74278681852 0              0.5   0.454545454545   0.628528930817
query->3    11 2896    5.73413499594 0   0.454545454545   0.454545454545   0.595754751784
query->3    12 1158     5.6906840959 0   0.416666666667   0.454545454545   0.595754751784
query->3    13 3075    5.66828379038 1   0.461538461538   0.545454545455   0.644502882353
query->3    14 1828    5.66412388086 0   0.428571428571   0.545454545455   0.644502882353
query->3    15 3156    5.62073869122 1   0.466666666667   0.636363636364   0.690675027215
query->3    16 1601    5.52801671225 1              0.5   0.727272727273    0.73577240685
query->3    17 1811    5.49889347407 0   0.470588235294   0.727272727273    0.73577240685
query->3    18  141    5.46612480383 1              0.5   0.818181818182   0.779032062235
query->3    19  392     5.3714521151 0   0.473684210526   0.818181818182   0.779032062235
query->3    20 1302     5.3714521151 0             0.45   0.818181818182   0.779032062235
query->3    21 1613    5.31427745743 0   0.428571428571   0.818181818182   0.779032062235
query->3    22 2182    5.19161567433 0   0.409090909091   0.818181818182   0.779032062235
query->3    23 2660    5.14852248745 0   0.391304347826   0.818181818182   0.779032062235
query->3    24 2557    5.10249860911 0            0.375   0.818181818182   0.779032062235
query->3    25 1367    5.06444724563 0             0.36   0.818181818182   0.779032062235
query->3    26 1795    4.98307377706 0   0.346153846154   0.818181818182   0.779032062235
query->3    27 1468    4.97899060139 0   0.333333333333   0.818181818182   0.779032062235
query->3    28 2401    4.94801010937 0   0.321428571429   0.818181818182   0.779032062235
query->3    29 2895    4.92287130114 0   0.310344827586   0.818181818182   0.779032062235
query->3    30 2952    4.82792744685 0              0.3   0.818181818182   0.779032062235
query->3    31 2342    4.82659230038 0   0.290322580645   0.818181818182   0.779032062235
query->3    32 2851     4.7093261082 0          0.28125   0.818181818182   0.779032062235
query->3    33 2865    4.70477491559 0   0.272727272727   0.818181818182   0.779032062235
query->3    34 3059    4.61149823265 0   0.264705882353   0.818181818182   0.779032062235
query->3    35 3073    4.54417883944 0   0.257142857143   0.818181818182   0.779032062235
query->3    36 2195     4.5064520088 0             0.25   0.818181818182   0.779032062235
query->3    37   46    4.46244687332 0   0.243243243243   0.818181818182   0.779032062235
query->3    38 2289    4.45373364685 0   0.236842105263   0.818181818182   0.779032062235
query->3    39 2570    4.42056714565 0   0.230769230769   0.818181818182   0.779032062235
query->3    40 2080    4.38360303651 0            0.225   0.818181818182   0.779032062235
query->3    41 2175    4.35261397104 0   0.219512195122   0.818181818182   0.779032062235
query->3    42 1846    4.27265988358 0   0.214285714286   0.818181818182   0.779032062235
query->3    43 1569    4.23463036614 0   0.209302325581   0.818181818182   0.779032062235
query->3    44 1747    4.13958818316 0   0.204545454545   0.818181818182   0.779032062235
query->3    45 2838     4.0654398049 0              0.2   0.818181818182   0.779032062235
query->3    46 3044    4.04148767851 0   0.195652173913   0.818181818182   0.779032062235
query->3    47 3194    3.84125811497 0   0.191489361702   0.818181818182   0.779032062235
query->3    48 2740    3.78218079358 0           0.1875   0.818181818182   0.779032062235
query->3    49 2311    3.68165615507 0   0.183673469388   0.818181818182   0.779032062235
query->3    50 2727    3.65993215855 0             0.18   0.818181818182   0.779032062235
query->3    51 1854    3.64868921401 0   0.176470588235   0.818181818182   0.779032062235
query->3    52 1008    3.63846302758 0   0.173076923077   0.818181818182   0.779032062235
query->3    53 1380    3.55504751346 0   0.169811320755   0.818181818182   0.779032062235
query->3    54 2060    3.41225503518 0   0.166666666667   0.818181818182   0.779032062235
query->3    55 1200    3.39918774983 0   0.163636363636   0.818181818182   0.779032062235
query->3    56 2514    3.34420670548 0   0.160714285714   0.818181818182   0.779032062235
query->3    57 1471    3.32627281786 0   0.157894736842   0.818181818182   0.779032062235
query->3    58 1957    3.28041167361 0   0.155172413793   0.818181818182   0.779032062235
query->3    59 3175    3.24894099535 1   0.169491525424   0.909090909091   0.809696768053
query->3    60 1554    3.22258286557 0   0.166666666667   0.909090909091   0.809696768053
query->3    61 2114     3.1728441757 0    0.16393442623   0.909090909091   0.809696768053
query->3    62 1341    3.15697458821 0   0.161290322581   0.909090909091   0.809696768053
query->3    63 1603    3.10949513742 0    0.15873015873   0.909090909091   0.809696768053
query->3    64 1960    3.07862770437 0          0.15625   0.909090909091   0.809696768053
query->3    65 1536    3.06342266468 0   0.153846153846   0.909090909091   0.809696768053
query->3    66 2376    2.91924406886 0   0.151515151515   0.909090909091   0.809696768053
query->3    67  320    2.90556913972 0   0.149253731343   0.909090909091   0.809696768053
query->3    68 1959    2.90105014778 0   0.147058823529   0.909090909091   0.809696768053
query->3    69 2515    2.82836464142 0   0.144927536232   0.909090909091   0.809696768053
query->3    70 2898    2.69125151528 0   0.142857142857   0.909090909091   0.809696768053
query->3    71 2723    2.59039075864 0   0.140845070423   0.909090909091   0.809696768053
query->3    72 1325    2.59010797976 0   0.138888888889   0.909090909091   0.809696768053
query->3    73 3120    2.56865551516 0    0.13698630137   0.909090909091   0.809696768053
query->3    74 2967    2.54755548984 0   0.135135135135   0.909090909091   0.809696768053
query->3    75 1409    2.34527234645 0   0.133333333333   0.909090909091   0.809696768053
query->3    76 2497    2.25982633178 0   0.131578947368   0.909090909091   0.809696768053
query->3    77 1928    2.16516538372 0    0.12987012987   0.909090909091   0.809696768053
query->3    78 2692    1.97960767325 0   0.128205128205   0.909090909091   0.809696768053
query->3    79 2430   0.639232853862 0   0.126582278481   0.909090909091   0.809696768053
query->3    80  371   0.635108507063 0            0.125   0.909090909091   0.809696768053
query->3    81 1559    0.63390635622 0   0.123456790123   0.909090909091   0.809696768053
query->3    82 2090      0.626940925 0   0.121951219512   0.909090909091   0.809696768053
query->3    83 1539   0.625820285126 0   0.120481927711   0.909090909091   0.809696768053
query->3    84 2042   0.620786630481 0   0.119047619048   0.909090909091   0.809696768053
query->3    85 2146   0.614737275349 0   0.117647058824   0.909090909091   0.809696768053
query->3    86  199    0.61025161971 0   0.116279069767   0.909090909091   0.809696768053
query->3    87 2884   0.607971740108 0   0.114942528736   0.909090909091   0.809696768053
query->3    88 2630   0.606274518112 0   0.113636363636   0.909090909091   0.809696768053
query->3    89 2679   0.601872839637 0   0.112359550562   0.909090909091   0.809696768053
query->3    90 2520    0.59951714977 0   0.111111111111   0.909090909091   0.809696768053
query->3    91 2767   0.599241999381 0    0.10989010989   0.909090909091   0.809696768053
query->3    92 2509   0.597470996091 0   0.108695652174   0.909090909091   0.809696768053
query->3    93 1990   0.594359050512 0    0.10752688172   0.909090909091   0.809696768053
query->3    94 2348   0.594359050512 0   0.106382978723   0.909090909091   0.809696768053
query->3    95 1560   0.594359050512 0   0.105263157895   0.909090909091   0.809696768053
query->3    96 2283   0.593483265731 0   0.104166666667   0.909090909091   0.809696768053
query->3    97 2417   0.591279354285 0   0.103092783505   0.909090909091   0.809696768053
query->3    98 1961   0.589649910965 0   0.102040816327   0.909090909091   0.809696768053
query->3    99 2863   0.587132917347 0    0.10101010101   0.909090909091   0.809696768053
query->3   100 2510   0.585214725237 0              0.1   0.909090909091   0.809696768053
